Date,Trees,Diff
2019-11-06,13102.973,4326
2019-11-06,13105.496,2523
2019-11-06,13198.974,93478
2019-11-06,13201.898,2924
2019-11-06,13203.682,1784
2019-11-06,13206.63,2948
2019-11-06,14109.059,902429
2019-11-07,14112.352,3293
2019-11-07,14117.232,4880
2019-11-07,14167.224,49992
2019-11-07,14168.95,1726
2019-11-07,14172.697,3747
2019-11-07,14175.998,3301
2019-11-07,14178.079,2081
2019-11-07,14180.06,1981
2019-11-07,14182.014,1954
2019-11-07,14184.808,2794
2019-11-07,14186.534,1726
2019-11-07,14188.55,2016
2019-11-07,14190.165,1615
2019-11-07,14192.597,2432
2019-11-07,14193.934,1337
2019-11-07,14205.019,11085
2019-11-07,14206.361,1342
2019-11-07,14207.388,1027
2019-11-07,14208.612,1224
2019-11-07,14209.86,1248
2019-11-07,14210.983,1123
2019-11-07,14212.288,1305
2019-11-07,14213.276,988
2019-11-07,14214.541,1265
2019-11-07,14217.097,2556
2019-11-07,14218.248,1151
2019-11-07,14219.238,990
2019-11-07,14220.276,1038
2019-11-07,14221.652,1376
2019-11-07,14223.301,1649
2019-11-07,14224.725,1424
2019-11-07,14226.352,1627
2019-11-07,14228.419,2067
2019-11-07,14230.474,2055
2019-11-07,14232.641,2167
2019-11-07,14233.971,1330
2019-11-07,14235.624,1653
2019-11-07,14237.322,1698
2019-11-07,14240.878,3556
2019-11-07,14243.462,2584
2019-11-07,14245.027,1565
2019-11-07,14246.677,1650
2019-11-07,14248.926,2249
2019-11-07,14250.921,1995
2019-11-07,14253.112,2191
2019-11-07,14268.557,15445
2019-11-07,14270.125,1568
2019-11-07,14271.261,1136
2019-11-08,14273.661,2400
2019-11-08,14275.169,1508
2019-11-08,14276.285,1116
2019-11-08,14277.891,1606
2019-11-08,14279.275,1384
2019-11-08,14280.658,1383
2019-11-08,14281.828,1170
2019-11-08,14283.209,1381
2019-11-08,14284.313,1104
2019-11-08,14297.348,13035
2019-11-08,14298.289,941
2019-11-08,14299.288,999
2019-11-08,14300.088,800
2019-11-08,14302.075,1987
2019-11-08,14303.18,1105
2019-11-08,14303.971,791
2019-11-08,14305.24,1269
2019-11-08,14306.133,893
2019-11-08,14306.828,695
2019-11-08,14307.817,989
2019-11-08,14308.521,704
2019-11-08,14309.571,1050
2019-11-08,14311.112,1541
2019-11-08,14313.611,2499
2019-11-08,14314.509,898
2019-11-08,14315.249,740
2019-11-08,14316.063,814
2019-11-08,14317.074,1011
2019-11-08,14318.085,1011
2019-11-08,14319.202,1117
2019-11-08,14320.816,1614
2019-11-08,14322.476,1660
2019-11-08,14376.835,54359
2019-11-08,14379.594,2759
2019-11-08,14380.977,1383
2019-11-08,14408.204,27227
2019-11-08,14410.971,2767
2019-11-08,14412.427,1456
2019-11-08,14416.115,3688
2019-11-08,14419.879,3764
2019-11-08,14422.438,2559
2019-11-08,14424.901,2463
2019-11-08,14426.735,1834
2019-11-08,14428.476,1741
2019-11-08,14429.923,1447
2019-11-08,14432.07,2147
2019-11-08,14443.311,11241
2019-11-08,14444.97,1659
2019-11-09,14446.135,1165
2019-11-09,14447.244,1109
2019-11-09,14448.621,1377
2019-11-09,14449.692,1071
2019-11-09,14450.738,1046
2019-11-09,14452.162,1424
2019-11-09,14453.333,1171
2019-11-09,14455.241,1908
2019-11-09,14456.014,773
2019-11-09,14456.555,541
2019-11-09,14462.442,5887
2019-11-09,14463.727,1285
2019-11-09,14464.528,801
2019-11-09,14464.999,471
2019-11-09,14465.883,884
2019-11-09,14466.38,497
2019-11-09,14467.577,1197
2019-11-09,14468.323,746
2019-11-09,14469.024,701
2019-11-09,14469.789,765
2019-11-09,14470.349,560
2019-11-09,14471.374,1025
2019-11-09,14472.069,695
2019-11-09,14472.989,920
2019-11-09,14474.229,1240
2019-11-09,14475.148,919
2019-11-09,14476.004,856
2019-11-09,14477.311,1307
2019-11-09,14478.715,1404
2019-11-09,14480.209,1494
2019-11-09,14482.104,1895
2019-11-09,14483.521,1417
2019-11-09,14485.577,2056
2019-11-09,14489.465,3888
2019-11-09,14490.944,1479
2019-11-09,14492.286,1342
2019-11-09,14494.59,2304
2019-11-09,14496.261,1671
2019-11-09,14497.93,1669
2019-11-09,14499.554,1624
2019-11-09,14500.882,1328
2019-11-09,14523.838,22956
2019-11-09,14525.669,1831
2019-11-09,14528.004,2335
2019-11-09,14530.546,2542
2019-11-09,14535.088,4542
2019-11-09,14537.383,2295
2019-11-09,14540.326,2943
2019-11-10,14541.901,1575
2019-11-10,14543.956,2055
2019-11-10,14545.63,1674
2019-11-10,14547.137,1507
2019-11-10,14548.257,1120
2019-11-10,14549.485,1228
2019-11-10,14550.856,1371
2019-11-10,14553.124,2268
2019-11-10,14555.456,2332
2019-11-10,14556.556,1100
2019-11-10,14558.106,1550
2019-11-10,14559.023,917
2019-11-10,14559.562,539
2019-11-10,14560.061,499
2019-11-10,14561.17,1109
2019-11-10,14561.752,582
2019-11-10,14562.488,736
2019-11-10,14565.711,3223
2019-11-10,14566.119,408
2019-11-10,14567.354,1235
2019-11-10,14568.192,838
2019-11-10,14569.119,927
2019-11-10,14570.254,1135
2019-11-10,14571.233,979
2019-11-10,14572.054,821
2019-11-10,14572.931,877
2019-11-10,14573.886,955
2019-11-10,14574.821,935
2019-11-10,14575.952,1131
2019-11-10,14583.54,7588
2019-11-10,14585.425,1885
2019-11-10,14587.304,1879
2019-11-10,14588.863,1559
2019-11-10,14590.729,1866
2019-11-10,14593.48,2751
2019-11-10,14595.254,1774
2019-11-10,14597.771,2517
2019-11-10,14605.002,7231
2019-11-10,14608.194,3192
2019-11-10,14611.872,3678
2019-11-10,14613.473,1601
2019-11-10,14615.812,2339
2019-11-10,14618.207,2395
2019-11-10,14641.491,23284
2019-11-10,14643.072,1581
2019-11-10,14645.389,2317
2019-11-10,14646.669,1280
2019-11-10,14648.27,1601
2019-11-11,14649.644,1374
2019-11-11,14651.348,1704
2019-11-11,14654.074,2726
2019-11-11,14655.547,1473
2019-11-11,14657.289,1742
2019-11-11,14659.245,1956
2019-11-11,14661.025,1780
2019-11-11,14662.441,1416
2019-11-11,14663.718,1277
2019-11-11,14664.951,1233
2019-11-11,14702.764,37813
2019-11-11,14703.673,909
2019-11-11,14704.691,1018
2019-11-11,14705.438,747
2019-11-11,14706.547,1109
2019-11-11,14707.311,764
2019-11-11,14707.835,524
2019-11-11,14708.221,386
2019-11-11,14709.242,1021
2019-11-11,14710.877,1635
2019-11-11,14711.651,774
2019-11-11,14712.364,713
2019-11-11,14713.45,1086
2019-11-11,14714.092,642
2019-11-11,14714.576,484
2019-11-11,14716.271,1695
2019-11-11,14717.001,730
2019-11-11,14717.751,750
2019-11-11,14718.714,963
2019-11-11,14720.229,1515
2019-11-11,14721.416,1187
2019-11-11,14723.66,2244
2019-11-11,14725.38,1720
2019-11-11,14726.788,1408
2019-11-11,14735.547,8759
2019-11-11,14737.437,1890
2019-11-11,14739.064,1627
2019-11-11,14742.103,3039
2019-11-11,14745.748,3645
2019-11-11,14748.322,2574
2019-11-11,14749.738,1416
2019-11-11,14766.039,16301
2019-11-11,14769.294,3255
2019-11-11,14773.054,3760
2019-11-11,14775.798,2744
2019-11-11,14777.209,1411
2019-11-11,14791.243,14034
2019-11-11,14792.516,1273
2019-11-12,14793.641,1125
2019-11-12,14794.808,1167
2019-11-12,14796.694,1886
2019-11-12,14804.463,7769
2019-11-12,14807.09,2627
2019-11-12,14809.505,2415
2019-11-12,14811.105,1600
2019-11-12,14812.309,1204
2019-11-12,14813.941,1632
2019-11-12,14842.745,28804
2019-11-12,14845.109,2364
2019-11-12,14845.906,797
2019-11-12,14865.63,19724
2019-11-12,14866.52,890
2019-11-12,14883.618,17098
2019-11-12,14884.133,515
2019-11-12,14884.772,639
2019-11-12,14885.208,436
2019-11-12,14885.73,522
2019-11-12,14886.144,414
2019-11-12,14886.657,513
2019-11-12,14887.289,632
2019-11-12,14887.984,695
2019-11-12,14888.447,463
2019-11-12,14889.061,614
2019-11-12,14889.806,745
2019-11-12,14890.445,639
2019-11-12,14891.005,560
2019-11-12,14892.935,1930
2019-11-12,14894.482,1547
2019-11-12,14947.768,53286
2019-11-12,14949.153,1385
2019-11-12,14950.574,1421
2019-11-12,14952.499,1925
